"TITLE","AUTHORS","SUBJECT","DESCRIPTION","PUBLISHER","AVAILABILITY","RESEARCH_ORG","SPONSORING_ORG","CONTRIBUTING_ORG","PUBLICATION_COUNTRY","PUBLICATION_DATE","LANGUAGE","RESOURCE_TYPE","TYPE_QUALIFIER","RELATION","COVERAGE","FORMAT","IDENTIFIER","REPORT_NUMBER","DOE_CONTRACT_NUMBER","OTHER_IDENTIFIER","DOI","RIGHTS","ENTRY_DATE","OSTI_IDENTIFIER","CITATION_URL","PURL_URL","JOURNAL_NAME","JOURNAL_ISSUE","JOURNAL_VOLUME"
"Determination of the astrophysical 8Li(n, {gamma})9Li reaction rate from the measurement of 2H(8Li,9 Li)1H reaction","Zhihong, Li; Weiping, Liu; Xixiang, Bai; Bing, Guo; Gang, Lian; Shengquan, Yan; Baoxiang, Wang; Sheng, Zeng; Yun, Lu; Jun, Su; Yongshou, Chen; Kaisu, Wu; Nengchuan, Shu; Kajino, Toshitaka; Department of Astronomy, University of Tokyo, Bunkyo-ku, Tokyo 113-0033 (Japan)]","72 PHYSICS OF ELEMENTARY PARTICLES AND FIELDS; ASTROPHYSICS; CAPTURE; CROSS SECTIONS; GAMMA RADIATION; GROUND STATES; HYDROGEN 1; LITHIUM 8; LITHIUM 8 TARGET; LITHIUM 9; NEUTRON REACTIONS; NEUTRONS; NUCLEAR REACTION KINETICS; NUCLEOSYNTHESIS; SPECTROSCOPIC FACTORS; SUPERNOVAE; TRANSFER REACTIONS","The cross section of the 8Li(n, {gamma})9Li reaction has attracted much attention for many years because of its importance in nuclear astrophysics. The single particle spectroscopic factor, S1,3/2 for the ground state of 9Li = 8Li (multiply-in-circle sign) n derived from the transfer reaction of 8Li(d, p)9Li was used to calculate the direct radiative capture reaction rates of 8Li(n, {gamma})9Li at energies of astrophysical interest. The present result shows that the 8Li(n, {gamma})9Li direct capture reaction may play an important role in the astrophysical environments of inhomogeneous big bang and type II supernovae.","","","","","","United States","2006-07-12T00:00:00Z","English","Journal Article","","Journal Name: AIP Conference Proceedings; Journal Volume: 847; Journal Issue: 1; Conference: International symposium on origin of matter and evolution of galaxies 2005: New horizon of nuclear astrophysics and cosmology, Tokyo (Japan), 8-11 Nov 2005; Other Information: DOI: 10.1063/1.2234380; (c) 2006 American Institute of Physics; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 37-42","","","","Journal ID: ISSN 0094-243X; APCPCS; TRN: US07A2729045164","10.1063/1.2234380","","2010-06-03T00:00:00Z","20877451","https://www.osti.gov/biblio/20877451","","AIP Conference Proceedings","1","847"
"The ({sup 8}Li, {alpha}) reaction at low energy: Direct {sup 4}H cluster transfer?","Becchetti, F D; Raymond, R S; Roberts, D A; Lucido, J; De Young, P A; Hilldore, B; Huisman, A J; Van Wylen, P J; Bychowski, J; Department of Physics, University of Notre Dame, Notre Dame, Indiana 46556-5670 (United States)]; Kolata, J J; Rogachev, G; Hinnefeld, J D","73 NUCLEAR PHYSICS AND RADIATION PHYSICS; ALPHA PARTICLES; ALUMINIUM 27 TARGET; ANGULAR DISTRIBUTION; CARBON 12 TARGET; CLUSTER MODEL; CROSS SECTIONS; DIRECT REACTIONS; ENERGY LEVELS; ENERGY SPECTRA; EXCITATION; HYDROGEN 4; LEAD 208 TARGET; LITHIUM 8 REACTIONS; MEV RANGE; NITROGEN 16; NUCLEAR FRAGMENTATION; TRITIUM","The ({sup 8}Li, {alpha}) reaction has been studied at E({sup 8}Li)=27.7 MeV on targets of {sup nat}C, {sup 27}Al, and {sup 208}Pb using a secondary {sup 8}Li beam. The {alpha}-energy spectra for {sup 27}Al and {sup 208}Pb are generally nondistinct and resemble fragmentation spectra. In contrast, data for the {sup nat}C target exhibit enhanced ({sup 8}Li, {alpha}) cross sections in the region corresponding to population of low-lying levels in {sup 16}N. Angular distributions were determined over a large angular range and exhibit a strong forward peaking for {sup 27}Al and some forward peaking for the {sup nat}C data. They are otherwise rather featureless but distinct from spectra expected from fusion evaporation. The data for {sup 27}Al are indicative of either direct or sequential fragmentation processes. Similar analysis of limited data obtained at E({sup 8}Li)=27.7 MeV for the {sup 208}Pb target, along with data previously obtained at higher {sup 8}Li energies, is suggestive of a sequential breakup mechanism. In the case of the {sup nat}C target, the data corresponding to low excitation energies in {sup 16}N exhibit ({sup 8}Li, {alpha}) angular distributions that appear to be most consistent with a {sup 4}H transfer mechanism. However, we cannot distinguish between a one-step {sup 4}H cluster transfer and a multistep {sup 4}H transfer (such as n + {sup 3}H)","","","","","","United States","2005-05-01T00:00:00Z","English","Journal Article","","Journal Name: Physical Review. C, Nuclear Physics; Journal Volume: 71; Journal Issue: 5; Other Information: DOI: 10.1103/PhysRevC.71.054610; (c) 2005 The American Physical Society; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 054610-054610.9","","","","Journal ID: ISSN 0556-2813; PRVCAN; TRN: US06A0309014686","10.1103/PhysRevC.71.054610","","2010-06-03T00:00:00Z","20698684","https://www.osti.gov/biblio/20698684","","Physical Review. C, Nuclear Physics","5","71"
"Excited States In 7He From d(6He,p)7He","Wuosmaa, A H; Rehm, K E; Greene, J P; Henderson, D J; Janssens, R V.F.; Jiang, C L; Moore, E F; Pardo, R C; Peterson, D; Pieper, S C; Savard, G; Schiffer, J P; Sinha, S; Tang, X; Wiringa, R B; Jisonna, L; Segel, R E","73 NUCLEAR PHYSICS AND RADIATION PHYSICS; EXCITED STATES; GROUND STATES; HELIUM 6; HELIUM 6 REACTIONS; HELIUM 7; HELIUM 8; HELIUM 8 REACTIONS; HYDROGEN 1 TARGET; L-S COUPLING; MEV RANGE; PROTON-NUCLEON INTERACTIONS; RESONANCE; SPIN","We have studied the properties of low-lying levels in 7He using the d(6He,p)7He reaction. Recent measurements of 8He breakup and the p(8He,d)7He reaction present conflicting results on 7He first excited state A broad resonance observed in the present work at E{sub X} = 2.2{sub -0.1}{sup +0.2} MeV is identified with the expected 1/2- spin-orbit partner to the 7He ground state. No evidence is seen of a lower first-excited state that was recently reported.","","","","","","United States","2005-04-05T00:00:00Z","English","Journal Article","","Journal Name: AIP Conference Proceedings; Journal Volume: 764; Journal Issue: 1; Conference: Conference on nuclei at the limits, Argonne, IL (United States), 26-30 Jul 2004; Other Information: DOI: 10.1063/1.1905341; (c) 2005 American Institute of Physics; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 393-398","","","","Journal ID: ISSN 0094-243X; APCPCS; TRN: US05A8577073703","10.1063/1.1905341","","2010-06-03T00:00:00Z","20630872","https://www.osti.gov/biblio/20630872","","AIP Conference Proceedings","1","764"
"Two-proton pickup reaction ({sup 6}He,{sup 8}Be) on {sup 12}C, {sup 16}O, and {sup 19}F","Milin, M; Miljanic, D; Soic, N; Zadro, M; Aliotta, M; Figuera, P; Pellegriti, M G; Spitaleri, C; Cherubini, S; Musumarra, A; Ninane, A; Davinson, T; Di Pietro, A; Ostrowski, A N; Shotter, A C","73 NUCLEAR PHYSICS AND RADIATION PHYSICS; ANGULAR DISTRIBUTION; BERYLLIUM 10; BERYLLIUM 8; CARBON 12 TARGET; FLUORINE 19 TARGET; HELIUM 6 REACTIONS; HYDROGEN 4; MEV RANGE; OXYGEN 16 TARGET; PICKUP REACTIONS; PROTONS","The first results are reported on ({sup 6}He,{sup 8}Be) two-proton pick-up reactions on {sup 12}C, {sup 16}O, and {sup 19}F nuclei. The measurements were done with an 18 MeV beam on {sup 6}LiF, {sup 7}LiF, {sup 6}Li{sub 2}CO{sub 3}, and {sup 12}C targets. The measured angular distributions for the {sup 12}C({sup 6}He,{sup 8}Be){sup 10}Be (g.s.) and {sup 12}C({sup 6}He,{sup 8}Be){sup 10}Be{sup *}(3.37 MeV) reactions show a clear signature of a direct process. Although the contributions from the {sup 6}Li({sup 6}He,{sup 8}Be){sup 4}H reaction were observed, no clear extraction of the {sup 4}H data was possible.","","","","","","United States","2004-10-01T00:00:00Z","English","Journal Article","","Journal Name: Physical Review. C, Nuclear Physics; Journal Volume: 70; Journal Issue: 4; Other Information: DOI: 10.1103/PhysRevC.70.044603; (c) 2004 The American Physical Society; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 044603-044603.5","","","","Journal ID: ISSN 0556-2813; PRVCAN; TRN: US05A0987011574","10.1103/PhysRevC.70.044603","","2010-06-03T00:00:00Z","20695664","https://www.osti.gov/biblio/20695664","","Physical Review. C, Nuclear Physics","4","70"
"Extrapolation of the astrophysical S factor for {sup 7}Be(p,{gamma}){sup 8}B to solar energies","Karataglidis, S; Jennings, B K; Shoppa, T D","73 NUCLEAR PHYSICS AND RADIATION PHYSICS; ASTROPHYSICS; BERYLLIUM 7 TARGET; BORON 8; COSMIC NEUTRINOS; CROSS SECTIONS; ENERGY DEPENDENCE; GAMMA SPECTRA; GROUND STATES; HYDROGEN BURNING; KEV RANGE; PROTON REACTIONS; PROTON-NUCLEON INTERACTIONS; SOLAR NEUTRINOS","We investigate the energy dependence of the astrophysical S factor for the reaction {sup 7}Be(p,{gamma}){sup 8}B, the primary source of high-energy solar neutrinos in the solar pp chain. Below 400 keV the energy dependence is well understood in terms of a subthreshold pole arising from the binding of the valence proton to the {sup 8}B ground state.","","","","","","United States","1998-12-21T00:00:00Z","English","Journal Article","","Journal Name: AIP Conference Proceedings; Journal Volume: 455; Journal Issue: 1; Conference: ENAM 98: 2. international conference on exotic nuclei and atomic masses, Bellaire, MI (United States), 23-27 Jun 1998; Other Information: DOI: 10.1063/1.57375; (c) 1998 American Institute of Physics; Country of input: International Atomic Energy Agency (IAEA)","","Medium: X; Size: page(s) 900-903","","","","Journal ID: ISSN 0094-243X; APCPCS; TRN: US08B2813078637","10.1063/1.57375","","2010-06-03T00:00:00Z","21207888","https://www.osti.gov/biblio/21207888","","AIP Conference Proceedings","1","455"
"Probability of a Solution to the Solar Neutrino Problem within the Minimal Standard Model","Heeger, K M; Robertson, R G","66 PHYSICS; STANDARD MODEL; SOLAR NEUTRINOS; PROBABILITY; SUN; EQUILIBRIUM; LUMINOSITY; NEUTRINO OSCILLATION; BERYLLIUM 7; BORON 8; HYDROGEN BURNING","Tests, independent of any solar model, can be made of whether solar neutrino experiments are consistent with the minimal standard model (stable, massless neutrinos). If the experimental uncertainties are correctly estimated and the sun is generating energy by light-element fusion in quasistatic equilibrium, the probability of a standard-physics solution is less than 2{percent}. Even when the luminosity constraint is abandoned, the probability is not more than 4{percent}. The sensitivity of the conclusions to input parameters is explored. {copyright} {ital 1996 The American Physical Society.}","","","","","","United States","1996-10-01T00:00:00Z","English","Journal Article","","Journal Name: Physical Review Letters; Journal Volume: 77; Journal Issue: 18; Other Information: PBD: Oct 1996","","Medium: X; Size: pp. 3720-3723","","","FG06-90ER40537","Journal ID: PRLTAO; ISSN 0031-9007; TRN: 96:027748","10.1103/PhysRevLett.77.3720","","2009-12-16T00:00:00Z","389358","https://www.osti.gov/biblio/389358","","Physical Review Letters","18","77"
"Elastic and inelastic p + {sup 8}He scattering at E{sub c.m.s.} = 65 MeV","Goncharov, S A; Korsheninnikov, A A","66 PHYSICS; HELIUM 8 REACTIONS; ELASTIC SCATTERING; INELASTIC SCATTERING; HYDROGEN 1 TARGET; MEV RANGE 100-1000; OPTICAL MODELS","An analysis of experimental data on elastic and inelastic p + {sup 8}He scattering at E{sub c.m.s.} = 65 MeV is presented. The sensitivity of elastic scattering to the density distribution in {sup 8}He is studied. A set of parameters of the optical potential is determined. The spin-parity and width of the excited state {sup 8}He*(3.57) are investigated. 18 ref., 3 figs., 1 tab.","","","","","","United States","1995-08-01T00:00:00Z","English","Journal Article","","Journal Name: Physics of Atomic Nuclei; Journal Volume: 58; Journal Issue: 8; Other Information: PBD: Aug 1995; TN: Translated from Yadernaya Fizika; 58: No. 8, 1393-1399(1995)","","Medium: X; Size: pp. 1311-1316","","","","Journal ID: PANUEO; ISSN 1063-7788; CNN: Grant 94-02-04752; TRN: 95:007180-0007","","","2009-12-16T00:00:00Z","183366","https://www.osti.gov/biblio/183366","","Physics of Atomic Nuclei","8","58"
"Electrochemical mercerization, souring, and bleaching of textiles","Cooper, John F","electrochemical; mercerization; souring; bleaching; textiles; economical; pollution-free; treatment; occurs; voltage; cell; mercerizes; scours; sours; optionally; bleaches; effluents; purchase; bulk; caustic; neutralizing; acids; produces; base; cathodic; chamber; equivalent; amount; acid; anodic; fabric; gas; diffusion; electrodes; simultaneously; generate; hydrogen; peroxide; preferred; configuration; stack; bipolar; anode; cathode; evolved; gas diffusion; hydrogen peroxide; hydrogen gas; electrochemical cell; bipolar electrodes; preferred configuration; diffusion electrodes; cell produces; generate hydrogen; simultaneously generate; /205/8/204/","Economical, pollution-free treatment of textiles occurs in a low voltage electrochemical cell that mercerizes (or scours), sours, and optionally bleaches without effluents and without the purchase of bulk caustic, neutralizing acids, or bleaches. The cell produces base in the cathodic chamber for mercerization and an equivalent amount of acid in the anodic chamber for neutralizing the fabric. Gas diffusion electrodes are used for one or both electrodes and may simultaneously generate hydrogen peroxide for bleaching. The preferred configuration is a stack of bipolar electrodes, in which one or both of the anode and cathode are gas diffusion electrodes, and where no hydrogen gas is evolved at the cathode.","","","Lawrence Livermore National Lab. (LLNL), Livermore, CA (United States)","","","United States","1995-01-01T00:00:00Z","English","Patent","","","","Medium: ED","","","W-7405-ENG-48","","","Patent Assignee: Regents of University of California (Oakland, CA)","2023-01-23T00:00:00Z","870107","https://www.osti.gov/biblio/870107","https://www.osti.gov/servlets/purl/870107","","",""
"[sup 2]H induced reactions on [sup 8]Li and primordial nucleosynthesis","Balbes, M J; Farrell, M M; Boyd, R N; Gu, X; Hencheck, M; Kalen, J D; Mitchell, C A; Kolata, J J; Lamkin, K; Smith, R; Tighe, R; Ashktorab, K; Becchetti, F D; Brown, J; Roberts, D; Wang, T; Humphreys, D; Vourvopoulos, G; Islam, M S","73 NUCLEAR PHYSICS AND RADIATION PHYSICS; LITHIUM 8 TARGET; DEUTERON REACTIONS; NUCLEOSYNTHESIS; BERYLLIUM 9; CROSS SECTIONS; GROUND STATES; LITHIUM 7; NEUTRONS; TRITIUM; ALKALI METAL ISOTOPES; ALKALINE EARTH ISOTOPES; BARYONS; BERYLLIUM ISOTOPES; BETA DECAY RADIOISOTOPES; BETA-MINUS DECAY RADIOISOTOPES; CHARGED-PARTICLE REACTIONS; ELEMENTARY PARTICLES; ENERGY LEVELS; EVEN-ODD NUCLEI; FERMIONS; HADRONS; HYDROGEN ISOTOPES; ISOTOPES; LIGHT NUCLEI; LITHIUM ISOTOPES; NUCLEAR REACTIONS; NUCLEI; NUCLEONS; ODD-EVEN NUCLEI; RADIOISOTOPES; STABLE ISOTOPES; SYNTHESIS; TARGETS; YEARS LIVING RADIOISOTOPES; 663440* - D-, T-, & He-induced Reactions & Scattering- (1992-); 663520 - Nuclear Mass Ranges- A=6-19- (1992-)","Cross sections for the [sup 8]Li([ital d],[ital n])[sup 9]Be (ground state) and [sup 8]Li([ital d],[ital t])[sup 7]Li reactions, both important to primordial nucleosynthesis in the inhomogeneous models, have been measured using a radioactive beam technique. The cross section for the former reaction is found to be small, so it is important only for synthesis of [sup 9]Be. The cross section for the latter reaction, however, is found to be large enough to destroy significant quantities of [sup 8]Li, and thus could affect predictions of primordial nucleosynthesis yields.","","","","","","United States","1993-12-13T00:00:00Z","English","Journal Article","","Journal Name: Physical Review Letters; (United States); Journal Volume: 71:24","","Medium: X; Size: Pages: 3931-3934","","","W-7405-ENG-48","Journal ID: ISSN 0031-9007; CODEN: PRLTAO; TRN: 94-005354","10.1103/PhysRevLett.71.3931","","2009-12-16T00:00:00Z","5262042","https://www.osti.gov/biblio/5262042","","Physical Review Letters; (United States)","","71:24"
"Accelerative effect of wear on corrosion of high-alloy stainless steel","Jiang, X X; Li, S Z; Tao, D D; Yang, J X","36 MATERIALS SCIENCE; STAINLESS STEEL-18-8; CORROSION; WEAR; SLIDING FRICTION; SULFURIC ACID; ALLOYS; AUSTENITIC STEELS; CHEMICAL REACTIONS; CHROMIUM ALLOYS; CHROMIUM-NICKEL STEELS; CORROSION RESISTANT ALLOYS; FRICTION; HEAT RESISTANT MATERIALS; HEAT RESISTING ALLOYS; HIGH ALLOY STEELS; HYDROGEN COMPOUNDS; INORGANIC ACIDS; IRON ALLOYS; IRON BASE ALLOYS; MATERIALS; NICKEL ALLOYS; STAINLESS STEELS; STEEL-CR18NI8; STEELS; 360105* - Metals & Alloys- Corrosion & Erosion; 360103 - Metals & Alloys- Mechanical Properties","The corrosive wear behavior of high-alloy stainless steels (SS) under sliding conditions was investigated in 20 wt% sulfuric acid (H[sub 2]SO[sub 4]) solution. Experiments showed a negative shift of the corrosion potential, positive shift of critical passivation potential, and steady passivation potential could be regarded as accelerative effects of wear on corrosion. For 18-8 austenitic SS (UNS S30302), it was concluded that the accelerative effect of wear on corrosion increased with increases of the corrosion rate.","","","","","","United States","1993-10-01T00:00:00Z","English","Journal Article","","Journal Name: Corrosion (Houston); (United States); Journal Volume: 49:10","","Medium: X; Size: Pages: 836-841","","","","Journal ID: ISSN 0010-9312; CODEN: CORRAK","10.5006/1.3316007","","2016-04-26T00:00:00Z","5842341","https://www.osti.gov/biblio/5842341","","Corrosion (Houston); (United States)","","49:10"
"Measurement of branching ratios of low energy deuteron-induced nuclear reactions on [sup 2]H, [sup 6]Li, and [sup 10]B","Cecil, F E; Liu, H; Yan, J S; Hale, G M","73 NUCLEAR PHYSICS AND RADIATION PHYSICS; BORON 10 TARGET; DEUTERON REACTIONS; DEUTERIUM TARGET; BRANCHING RATIO; LITHIUM 6 TARGET; ALPHA PARTICLES; BERYLLIUM 8; BORON 11; HELIUM 3; HELIUM 4; KEV RANGE 01-10; KEV RANGE 10-100; KEV RANGE 100-1000; LITHIUM 7; NEUTRONS; PROTONS; TRITIUM; ALKALI METAL ISOTOPES; ALKALINE EARTH ISOTOPES; ALPHA DECAY RADIOISOTOPES; BARYONS; BERYLLIUM ISOTOPES; BETA DECAY RADIOISOTOPES; BETA-MINUS DECAY RADIOISOTOPES; BORON ISOTOPES; CHARGED PARTICLES; CHARGED-PARTICLE REACTIONS; ELEMENTARY PARTICLES; ENERGY RANGE; EVEN-EVEN NUCLEI; EVEN-ODD NUCLEI; FERMIONS; HADRONS; HELIUM ISOTOPES; HYDROGEN ISOTOPES; ISOTOPES; KEV RANGE; LIGHT NUCLEI; LITHIUM ISOTOPES; NUCLEAR REACTIONS; NUCLEI; NUCLEONS; ODD-EVEN NUCLEI; RADIOISOTOPES; SECONDS LIVING RADIOISOTOPES; STABLE ISOTOPES; TARGETS; YEARS LIVING RADIOISOTOPES; 663440* - D-, T-, & He-induced Reactions & Scattering- (1992-); 663510 - Nuclear Mass Ranges- A=1-5- (1992-); 663520 - Nuclear Mass Ranges- A=6-19- (1992-)","We have measured the branching ratios [sup 2]H([ital d],[ital p])[sup 3]H/[sup 2]H([ital d],[ital n])[sup 3]He, [sup 6]Li([ital d],[ital p])[sup 7]Li/[sup 6]Li([ital d],[alpha])[sup 4]He, and [sup 10]B([ital d],[ital p])[sup 11]B/[sup 10]B([ital d],[alpha])[sup 8]Be between c.m. energies of 3 and 15 keV, 20 and 135 keV, and 58 and 142 keV, respectively. Our measurements of the [sup 2]H-[ital d] reaction are in good agreement with [ital R]-matrix calculations of the branching ratio. We find no enhancement of the ([ital d],[ital p]) branches of these reactions at the lowest observed energies. Implications of our findings to recent claims of anomalous production of heat from deuterium-metal systems are presented.","","","","","","United States","1993-03-01T00:00:00Z","English","Journal Article","","Journal Name: Physical Review, C (Nuclear Physics); (United States); Journal Volume: 47:3","","Medium: X; Size: Pages: 1178-1183","","","","Journal ID: ISSN 0556-2813; CODEN: PRVCAN; TRN: 93-005998","10.1103/PhysRevC.47.1178","","2009-12-17T00:00:00Z","6688939","https://www.osti.gov/biblio/6688939","","Physical Review, C (Nuclear Physics); (United States)","","47:3"
"Phenolic compounds containing/neutral fractions extract and products derived therefrom from fractionated fast-pyrolysis oils","Chum, Helena L; Black, Stuart K; Diebold, James P; Kreibich, Roland E","phenolic; compounds; containing; neutral; fractions; extract; products; derived; therefrom; fractionated; fast-pyrolysis; oils; process; preparing; phenol-formaldehyde; novolak; resins; molding; compositions; portions; phenol; normally; contained; replaced; obtained; fractionating; fractionation; consists; neutralization; stage; carried; aqueous; solutions; bases; appropriate; dry; followed; solvent; extraction; organic; moderate; solubility; parameter; hydrogen; bonding; capacity; compounds-containing; extracts; lignocellulosic; material; oil; initially; ph; range; 2-4; neutralized; bicarbonate; base; extracted; approximately; 4-9; 11; cal; cm; polar; components; 8-3; recovery; product; purification; adhesives; characterized; mixture; wide; variety; chemical; functionalities; including; carbonyl; aldehyde; methoxyl; vinyl; hydroxyl; thermosetting; shown; advantages; conventional; ph range; pyrolysis oils; neutral fractions; cellulosic material; products derived; fast-pyrolysis oils; solubility parameter; pyrolysis oil; thermosetting resin; solvent extraction; organic solvent; aqueous solution; aqueous solutions; wide variety; lignocellulosic material; compounds containing; derived therefrom; preparing phenol-formaldehyde; normally contained; phenol normally; fractions extract; fractionating fast-pyrolysis; phenolic compounds; molding compounds; molding compositions; molding composition; molding compound; extract obtained; thermosetting resins; fractionated fast-pyrolysis; compounds contain; phenol-formaldehyde resin; solvent extract; /528/428/999/585/","A process for preparing phenol-formaldehyde novolak resins and molding compositions in which portions of the phenol normally contained in said resins are replaced by a phenol/neutral fractions extract obtained from fractionating fast-pyrolysis oils. The fractionation consists of a neutralization stage which can be carried out with aqueous solutions of bases or appropriate bases in the dry state, followed by solvent extraction with an organic solvent having at least a moderate solubility parameter and good hydrogen bonding capacity. Phenolic compounds-containing/neutral fractions extracts obtained by fractionating fast-pyrolysis oils from a lignocellulosic material, is such that the oil is initially in the pH range of 2-4, being neutralized with an aqueous bicarbonate base, and extracted into a solvent having a solubility parameter of approximately 8.4-9.11 [cal/cm.sup.3 ].sup.1/2 with polar components in the 1.8-3.0 range and hydrogen bonding components in the 2-4.8 range and the recovery of the product extract from the solvent with no further purification being needed for use in adhesives and molding compounds. The product extract is characterized as being a mixture of very different compounds having a wide variety of chemical functionalities, including phenolic, carbonyl, aldehyde, methoxyl, vinyl and hydroxyl. The use of the product extract on phenol-formaldehyde thermosetting resins is shown to have advantages over the conventional phenol-formaldehyde resins.","","","Midwest Research Institute, Kansas City, MO (United States)","","","United States","1993-01-01T00:00:00Z","English","Patent","","","","Medium: ED","","","AC02-83CH10093","","","Patent Assignee: Midwest Research Institute Ventures, Inc. (Kansas City, MO)","2023-01-23T00:00:00Z","868832","https://www.osti.gov/biblio/868832","https://www.osti.gov/servlets/purl/868832","","",""
"Solar-neutrino experiments","Bethe, H A","72 PHYSICS OF ELEMENTARY PARTICLES AND FIELDS; SOLAR NEUTRINOS; MASS; BORON 8; CABIBBO ANGLE; CHLORINE 37; CONVECTION; GALLIUM 71; HEAVY WATER; LIQUID SCINTILLATION DETECTORS; MAGNETIC FIELDS; MAGNETIC MOMENTS; NEUTRINO DETECTION; NEUTRINO OSCILLATION; SEMICONDUCTOR DETECTORS; SOLAR ACTIVITY; SUPERNOVAE; BETA DECAY RADIOISOTOPES; BETA-PLUS DECAY RADIOISOTOPES; BORON ISOTOPES; CHLORINE ISOTOPES; DETECTION; ELEMENTARY PARTICLES; ENERGY TRANSFER; ERUPTIVE VARIABLE STARS; FERMIONS; GALLIUM ISOTOPES; HEAT TRANSFER; HYDROGEN COMPOUNDS; INTERMEDIATE MASS NUCLEI; ISOTOPES; LEPTONS; LIGHT NUCLEI; MASS TRANSFER; MASSLESS PARTICLES; MEASURING INSTRUMENTS; NEUTRINOS; NUCLEI; ODD-EVEN NUCLEI; ODD-ODD NUCLEI; OXYGEN COMPOUNDS; RADIATION DETECTION; RADIATION DETECTORS; RADIATIONS; RADIOISOTOPES; SCINTILLATION COUNTERS; SECONDS LIVING RADIOISOTOPES; SOLAR PARTICLES; SOLAR RADIATION; STABLE ISOTOPES; STARS; STELLAR RADIATION; VARIABLE STARS; WATER; 645203* - High Energy Physics- Particle Interactions & Properties-Theoretical- Weak Interactions & Properties","The observation of solar neutrinos at Kamiokande rules out the Mikheyev-Smirnov-Wolfenstein (MSW) theory with a large'' mass difference between the neutrinos, {Delta}{ital m}{sup 2}{congruent}10{sup {minus}4} eV{sup 2}. There remain the MSW theory with a small {Delta}{ital m}{sup 2}{congruent}10{sup {minus}7} eV{sup 2} or the assumption of unexpectedly low central temperature in the Sun. A decision between these two alternatives will be possible on the basis of the future gallium experiment, and the Sudbury experiment with heavy water.","","","","","","United States","1989-08-21T00:00:00Z","English","Journal Article","","Journal Name: Physical Review Letters; (USA); Journal Volume: 63:8","","Medium: X; Size: Pages: 837-839","","","","Journal ID: ISSN 0031-9007; CODEN: PRLTA; TRN: 89-026422","10.1103/PhysRevLett.63.837","","2009-12-16T00:00:00Z","5540374","https://www.osti.gov/biblio/5540374","","Physical Review Letters; (USA)","","63:8"
"Direct approach to resolve the solar-neutrino problem","Chen, H H","71 CLASSICAL AND QUANTUM MECHANICS, GENERAL PHYSICS; 46 INSTRUMENTATION RELATED TO NUCLEAR SCIENCE AND TECHNOLOGY; NEUTRINO DETECTION; CHERENKOV COUNTERS; NEUTRINO-DEUTERON INTERACTIONS; CHARGED-CURRENT INTERACTIONS; NEUTRAL-CURRENT INTERACTIONS; SOLAR NEUTRINOS; BETA-PLUS DECAY; BORON 8; HEAVY WATER; NEUTRINO OSCILLATION; BETA DECAY; BETA DECAY RADIOISOTOPES; BETA-PLUS DECAY RADIOISOTOPES; BORON ISOTOPES; DECAY; DETECTION; ELEMENTARY PARTICLES; FERMIONS; HYDROGEN COMPOUNDS; INTERACTIONS; ISOTOPES; LEPTON-BARYON INTERACTIONS; LEPTON-HADRON INTERACTIONS; LEPTONS; LIGHT NUCLEI; MASSLESS PARTICLES; MEASURING INSTRUMENTS; NEUTRINOS; NUCLEI; ODD-ODD NUCLEI; OXYGEN COMPOUNDS; PARTICLE INTERACTIONS; RADIATION DETECTION; RADIATION DETECTORS; RADIATIONS; RADIOISOTOPES; SECONDS LIVING RADIOISOTOPES; SOLAR PARTICLES; SOLAR RADIATION; STELLAR RADIATION; WATER; 640104* - Astrophysics & Cosmology- Solar Phenomena; 440104 - Radiation Instrumentation- High Energy Physics Instrumentation","A direct approach to resolve the solar-neutrino problem would be to observe neutrinos by use of both neutral-current and charged-current reactions. Then, the total neutrino flux and the electron neutrino flux would be separately determined to provide independent tests of the neutrino-oscillation hypothesis and the standard solar model. A large heavy-water Cherenkov detector, sensitive to neutrinos from /sup 8/B decay via the neutral-current reaction ..nu..+d..--> nu..+p+n and the charged-current reaction ..nu../sub e/+d..-->..e/sup -/+p+p is suggested for this purpose.","","","Department of Physics, University of California, Irvine, California 92717","","","United States","1985-09-30T00:00:00Z","English","Journal Article","","Journal Name: Phys. Rev. Lett.; (United States); Journal Volume: 55:14","","Medium: X; Size: Pages: 1534-1536","","","","Journal ID: CODEN: PRLTA; TRN: 85-022604","10.1103/PhysRevLett.55.1534","","2009-12-16T00:00:00Z","5315576","https://www.osti.gov/biblio/5315576","","Phys. Rev. Lett.; (United States)","","55:14"
